,Site,Reptile,Rodent,Bird,Mesomammal,LargeMammal,mesoPres
1,05,11,2,NA,NA,NA,Not Detected
2,106,NA,3,NA,NA,NA,Detected
3,112,NA,NA,3,NA,NA,Not Detected
4,113,NA,NA,5,NA,NA,Not Detected
5,114,1,NA,NA,6,NA,Detected
6,116,NA,NA,NA,6,NA,Detected
7,117,4,NA,4,10,NA,Detected
8,23,7,1,NA,3,NA,Detected
9,42,NA,NA,2,NA,NA,Not Detected
10,53,NA,NA,NA,NA,1,Not Detected
11,54,1,65,NA,NA,NA,Not Detected
12,67,1,3,NA,5,NA,Detected
13,91,NA,NA,6,6,NA,Detected
14,95,NA,4,NA,NA,NA,Detected
